Default,LoanAmount,Accounts,AnnualIncome,LastCreditPullYear,RevolvingBalance,LastPaymentAmount,RecentInquiries
0,24850.0,55,65000.0,2018,17643.0,19696.42,3
0,21100.0,44,60000.0,2019,32777.0,6012.97,0
0,21000.0,42,130000.0,2018,45470.0,2731.08,2
0,35000.0,11,70000.0,2017,0.0,25988.41,0
0,1200.0,51,50000.0,2019,12241.0,680.48,2
1,11700.0,46,34000.0,2016,25083.0,394.84,2
0,20450.0,31,57000.0,2019,15974.0,820.14,3
0,35000.0,40,139000.0,2019,40108.0,1223.12,0
0,18000.0,62,93000.0,2019,31804.0,552.5,0
0,10000.0,22,46072.0,2018,11095.0,6119.82,0
0,4500.0,20,15000.0,2019,4258.0,149.35,0
0,11950.0,31,78000.0,2017,11904.0,395.89,0
0,20000.0,22,42000.0,2019,38713.0,607.6,0
1,13825.0,21,110000.0,2018,8258.0,479.19,1
0,18350.0,26,45000.0,2016,14021.0,17749.47,3
0,5000.0,26,70000.0,2019,6223.0,2225.82,0
1,14000.0,25,34000.0,2017,8184.0,344.56,2
0,3000.0,24,70000.0,2015,12578.0,173.11,2
1,12750.0,26,62450.0,2019,4294.0,277.16,2
0,8000.0,15,26000.0,2017,7833.0,267.08,0
0,3000.0,45,94700.0,2018,12347.0,2819.5,1
1,8000.0,18,95000.0,2017,18184.0,323.89,2
0,6000.0,16,43000.0,2017,3720.0,191.01,0
0,8000.0,19,35000.0,2018,10515.0,269.79,0
0,20000.0,14,90000.0,2019,24398.0,673.47,3
0,34625.0,19,130000.0,2019,5105.0,1079.79,0
0,12000.0,31,72000.0,2019,11958.0,8701.25,2
0,24000.0,43,121000.0,2019,32770.0,10752.64,0
0,28000.0,35,150000.0,2019,24957.0,7755.99,0
1,8000.0,20,40000.0,2016,7441.0,254.03,0
0,11775.0,11,54000.0,2018,5105.0,9977.67,1
0,7000.0,24,87000.0,2017,7180.0,3826.64,3
1,18900.0,41,42000.0,2017,22598.0,465.56,0
0,8000.0,39,36000.0,2019,14681.0,7289.44,1
0,4000.0,24,50000.0,2018,6858.0,135.07,0
0,35000.0,20,110000.0,2019,41600.0,25352.88,0
0,10000.0,15,46000.0,2019,5593.0,274.57,1
1,10625.0,13,56000.0,2016,10509.0,389.74,2
0,14125.0,36,62000.0,2018,12972.0,493.0,0
1,10000.0,15,45000.0,2014,5350.0,258.97,0
1,9100.0,36,147000.0,2018,47214.0,286.81,1
0,26975.0,35,54000.0,2016,567.0,23598.16,0
0,12275.0,17,60000.0,2018,2903.0,469.66,1
0,10000.0,11,37500.0,2019,6494.0,327.33,0
0,15000.0,44,85000.0,2019,21307.0,8004.27,1
0,8375.0,19,99000.0,2018,29891.0,7655.44,0
0,12000.0,31,64000.0,2019,2113.0,9770.25,2
1,30000.0,32,106253.0,2019,13943.0,778.06,0
0,3200.0,27,80000.0,2015,2380.0,2507.67,3
0,32000.0,29,64000.0,2018,39192.0,6658.24,0
0,17500.0,11,40000.0,2019,30798.0,416.24,0
1,35000.0,45,118260.0,2016,18104.0,1359.14,0
0,6400.0,17,47000.0,2019,6454.0,219.25,0
0,5000.0,10,35000.0,2019,5218.0,1289.17,1
0,13400.0,20,45000.0,2015,4673.0,5785.16,0
0,16000.0,9,154000.0,2019,18306.0,325.81,0
0,1000.0,21,35000.0,2016,442.0,188.11,0
0,32325.0,26,73000.0,2018,18694.0,1134.06,0
1,12000.0,43,55000.0,2017,12626.0,419.58,4
0,15000.0,23,86400.0,2019,20558.0,460.35,0
0,23000.0,14,75000.0,2019,4137.0,4027.45,1
0,13000.0,18,41000.0,2019,12073.0,2110.3,0
0,2850.0,34,67717.0,2019,3241.0,4.77,0
0,12000.0,27,70000.0,2016,10620.0,365.08,2
0,3500.0,25,45000.0,2019,5327.0,115.16,1
0,3600.0,14,63000.0,2019,7981.0,1525.04,2
1,15000.0,21,90000.0,2016,11394.0,1108.0,2
0,14975.0,31,110000.0,2019,23995.0,8842.07,2
1,4950.0,28,16500.0,2017,1172.0,186.47,2
1,12975.0,24,95000.0,2018,10891.0,4216.69,0
0,12000.0,12,138000.0,2019,39914.0,332.46,0
0,7125.0,7,32000.0,2019,4013.0,4244.49,0
0,5600.0,27,60000.0,2017,3427.0,4760.66,3
0,14975.0,19,78000.0,2019,16823.0,2427.54,0
1,35000.0,14,135000.0,2017,29441.0,1179.12,0
0,20000.0,27,78000.0,2018,16182.0,654.66,0
0,5000.0,25,90000.0,2019,10462.0,48.35,1
0,30000.0,15,90000.0,2014,47386.0,26589.82,1
0,9000.0,50,47500.0,2019,5800.0,2588.11,1
0,8000.0,42,40000.0,2019,21877.0,745.9,0
1,20000.0,25,69000.0,2017,20921.0,498.56,3
1,23000.0,17,72000.0,2016,14451.0,547.05,0
0,19725.0,17,47000.0,2019,7687.0,503.58,0
0,6900.0,33,65000.0,2016,18367.0,1495.32,1
0,35000.0,24,360000.0,2018,16142.0,13463.7,0
1,10125.0,43,60000.0,2017,19670.0,338.19,2
0,10500.0,28,90000.0,2017,7031.0,1.87,0
0,28775.0,20,61000.0,2018,22047.0,16015.37,1
0,15000.0,35,50000.0,2017,16263.0,13715.03,3
0,4125.0,16,20000.0,2019,4668.0,141.02,0
0,8000.0,29,93808.0,2018,11835.0,5796.93,1
0,10000.0,39,110400.0,2019,18361.0,521.01,0
0,23500.0,38,70000.0,2017,17573.0,9890.6,1
0,10000.0,17,60000.0,2019,9181.0,5909.9,1
0,30000.0,33,65000.0,2019,72580.0,19792.4,1
1,35000.0,40,244000.0,2019,6770.0,1164.51,2
0,13000.0,30,53000.0,2019,13185.0,6066.36,2
0,11200.0,27,50000.0,2019,7553.0,350.09,0
1,3675.0,22,35000.0,2016,7292.0,126.16,0
0,10000.0,20,45000.0,2018,9422.0,1519.72,1
0,9500.0,25,52000.0,2018,9089.0,4240.38,0
0,4525.0,56,34000.0,2019,5179.0,2268.59,1
1,22000.0,29,57000.0,2016,19882.0,500.46,0
0,3125.0,52,33600.0,2014,4800.0,2875.91,3
0,16575.0,10,60600.0,2016,16580.0,7247.58,0
0,28000.0,42,120000.0,2018,10355.0,24100.34,1
0,16000.0,36,92000.0,2019,49456.0,15021.45,0
0,4250.0,37,70000.0,2018,4666.0,1076.15,1
0,22075.0,33,81500.0,2019,29422.0,16383.82,1
0,32350.0,43,73000.0,2016,31874.0,17990.12,0
0,19725.0,38,55000.0,2019,18263.0,674.58,0
1,18200.0,15,45981.0,2019,17366.0,426.61,0
0,10000.0,22,40000.0,2019,8708.0,320.98,0
0,8000.0,20,45000.0,2019,5852.0,5706.61,0
1,19600.0,20,50000.0,2018,10467.0,691.41,1
0,11750.0,57,60573.0,2017,10855.0,430.86,0
0,11000.0,19,50000.0,2019,15878.0,2197.36,2
0,14000.0,36,105000.0,2019,21155.0,11180.84,2
0,15000.0,36,70000.0,2018,19521.0,467.65,1
0,15000.0,40,50100.0,2016,13040.0,456.26,1
0,12000.0,37,45000.0,2019,5751.0,10040.15,0
0,10500.0,11,36000.0,2018,3462.0,1159.45,3
1,31450.0,44,75000.0,2017,22949.0,906.22,3
0,27100.0,30,95000.0,2017,37289.0,847.54,0
0,9450.0,10,90000.0,2017,2463.0,333.52,2
0,6000.0,16,52000.0,2019,11481.0,208.97,0
0,9500.0,11,27254.0,2017,8768.0,8071.83,2
0,20000.0,32,68500.0,2018,18310.0,658.93,1
0,11000.0,17,70000.0,2017,6401.0,1803.56,0
0,8000.0,20,60000.0,2019,32606.0,5521.22,1
1,35000.0,16,170000.0,2016,23388.0,880.61,1
0,27950.0,37,144000.0,2019,143828.0,610.32,0
0,19000.0,30,47000.0,2019,26035.0,405.1,1
0,35000.0,16,116000.0,2019,44000.0,768.69,0
0,6000.0,16,25000.0,2018,9500.0,418.9,1
0,5000.0,19,43000.0,2019,14562.0,1993.93,0
0,10000.0,15,110000.0,2019,10929.0,9828.99,4
0,10000.0,38,125000.0,2018,44414.0,7570.84,0
0,19975.0,20,56000.0,2019,22715.0,634.83,0
0,1150.0,18,23000.0,2017,4121.0,38.69,0
0,14000.0,13,80000.0,2018,15308.0,3435.17,0
0,35000.0,45,120000.0,2019,28114.0,1156.66,1
0,9950.0,25,115000.0,2016,8275.0,332.57,0
0,13500.0,46,100000.0,2019,25513.0,448.27,0
1,11200.0,17,58737.45,2016,150.0,313.81,1
1,23000.0,28,133000.0,2019,30951.0,542.84,2
0,8000.0,49,170000.0,2019,25024.0,668.68,1
0,4100.0,10,42000.0,2019,4252.0,865.92,0
0,35000.0,25,106000.0,2019,26467.0,14594.74,2
0,12000.0,12,102000.0,2018,19426.0,9751.33,0
1,13875.0,25,60000.0,2019,5485.0,25.0,1
0,25000.0,23,75000.0,2019,11534.0,18646.76,0
0,6000.0,17,32000.0,2018,5939.0,2149.16,0
1,9500.0,10,34000.0,2017,8068.0,297.26,1
0,10000.0,32,40000.0,2018,5577.0,339.42,1
0,15000.0,32,92000.0,2019,35070.0,551.27,0
0,9200.0,24,170000.0,2016,570.0,6178.97,0
0,13725.0,28,54000.0,2017,13692.0,7057.09,0
1,7200.0,32,88000.0,2016,64282.0,239.11,0
0,18200.0,32,93000.0,2016,15177.0,16845.42,0
0,35000.0,20,100000.0,2017,4712.0,14808.22,0
0,3500.0,21,76000.0,2018,3682.0,2687.5,2
1,15000.0,31,75000.0,2017,5122.0,465.51,1
1,4000.0,26,32000.0,2016,4782.0,144.12,1
0,12000.0,34,50000.0,2018,10526.0,2.45,2
0,8000.0,22,84000.0,2018,16803.0,7145.83,0
0,5000.0,25,25000.0,2017,10068.0,1209.55,0
0,35000.0,24,97000.0,2017,46754.0,4322.1,1
0,24000.0,38,80750.0,2019,38689.0,7931.58,1
0,18700.0,21,68500.0,2019,16818.0,568.93,0
0,14950.0,35,70000.0,2018,15306.0,487.31,1
0,5000.0,46,42000.0,2019,3828.0,152.5,0
0,8000.0,7,46000.0,2018,8103.0,265.52,1
0,14325.0,24,36000.0,2019,8530.0,366.99,0
0,6500.0,17,38000.0,2019,3752.0,5458.47,0
0,34975.0,41,89000.0,2017,35065.0,32727.33,4
1,25000.0,18,86000.0,2018,10028.0,606.36,0
0,24000.0,35,175000.0,2019,49904.0,19222.38,0
0,34950.0,63,155000.0,2019,26475.0,16999.17,0
0,27000.0,42,106000.0,2019,27295.0,833.49,0
0,15575.0,25,45000.0,2018,42734.0,1.98,2
1,9500.0,36,60000.0,2016,15498.0,331.15,2
0,15950.0,41,73000.0,2016,8378.0,4046.82,2
0,35000.0,31,220000.0,2019,37374.0,796.18,1
0,30000.0,14,200000.0,2018,76750.0,925.06,0
1,15975.0,7,70000.0,2016,5361.0,534.11,0
0,22000.0,27,95000.0,2019,94621.0,530.45,0
0,18950.0,28,62000.0,2017,29270.0,9138.11,0
0,12000.0,23,70000.0,2017,12614.0,8750.38,1
0,35000.0,28,165000.0,2019,43336.0,33333.07,0
0,10000.0,20,38000.0,2019,8478.0,708.69,1
0,15625.0,17,34726.03,2018,14612.0,3874.99,1
0,6950.0,12,62000.0,2019,23515.0,239.52,0
0,7500.0,21,43296.0,2017,6195.0,252.61,2
1,13200.0,24,80000.0,2016,12645.0,474.37,1
0,2000.0,27,18000.0,2018,8810.0,534.94,2
0,5400.0,37,67000.0,2017,4934.0,1092.73,0
0,15600.0,8,45277.0,2016,10062.0,11212.2,0
0,10000.0,36,65000.0,2019,8578.0,4606.79,3
0,9000.0,23,110000.0,2019,22549.0,1428.37,1
0,6500.0,24,75000.0,2018,26093.0,890.38,1
0,6400.0,18,75000.0,2016,13829.0,217.38,1
0,4000.0,24,42000.0,2016,3053.0,3342.98,0
1,30000.0,53,110000.0,2019,26487.0,52.0,1
0,22800.0,57,172000.0,2018,52456.0,15381.71,0
0,20000.0,14,100000.0,2019,29114.0,8073.33,1
1,35000.0,45,100000.0,2018,31859.0,1340.23,2
0,25000.0,19,62000.0,2018,42202.0,19383.5,0
0,10975.0,12,25000.0,2014,10463.0,10324.58,0
1,5150.0,5,30394.0,2017,3589.0,173.8,0
0,19200.0,8,49500.0,2019,10100.0,19563.44,0
0,15000.0,13,99100.0,2018,12833.0,5906.21,0
0,6000.0,24,40000.0,2018,2732.0,3146.69,2
0,15400.0,18,85000.0,2018,2998.0,8450.54,0
0,11900.0,23,78000.0,2019,12287.0,3977.05,1
0,12800.0,25,42000.0,2018,7908.0,8452.81,2
1,7000.0,11,27000.0,2016,4957.0,238.09,1
0,25000.0,19,80000.0,2019,19470.0,17496.31,0
0,20000.0,21,61150.0,2018,22587.0,18395.17,0
0,5500.0,10,31200.0,2016,6260.0,183.57,0
0,10000.0,21,70000.0,2018,10366.0,7144.04,0
0,20000.0,25,90000.0,2019,6236.0,482.23,1
0,27500.0,44,92000.0,2018,32586.0,9203.02,0
0,14150.0,37,37060.0,2018,18152.0,501.31,0
0,19650.0,30,63000.0,2019,12743.0,17280.93,1
0,16500.0,15,49000.0,2019,10692.0,421.24,3
1,17625.0,9,40000.0,2018,9650.0,581.63,1
0,5000.0,13,24000.0,2018,4724.0,4041.8,0
0,10000.0,29,32000.0,2018,8018.0,8939.79,0
0,16000.0,14,98500.0,2019,15001.0,5913.53,0
0,19950.0,29,66615.68,2017,14962.0,673.48,0
0,27600.0,24,68000.0,2017,27031.0,13954.69,0
1,9950.0,31,61400.0,2016,5670.0,353.01,1
0,20400.0,17,56500.0,2019,17266.0,85.46,0
0,25000.0,24,99000.0,2019,45391.0,550.2,0
0,35000.0,27,90005.0,2017,14729.0,11531.14,0
0,5000.0,27,24422.0,2019,6909.0,3251.02,1
0,3500.0,14,75000.0,2016,5068.0,2521.26,1
0,16875.0,25,59000.0,2017,24967.0,5003.46,0
0,21550.0,22,56634.0,2019,14761.0,13376.01,0
1,24000.0,35,160000.0,2016,10553.0,200.0,2
0,8400.0,30,52000.0,2014,15695.0,7917.06,2
1,10500.0,41,50000.0,2018,18764.0,367.14,1
0,7800.0,25,40000.0,2019,4448.0,3688.57,3
0,28000.0,45,115000.0,2019,30643.0,23108.85,1
0,20000.0,36,100000.0,2019,32030.0,10101.36,2
0,5000.0,26,75000.0,2019,4867.0,27.06,0
0,25950.0,28,61000.0,2018,9738.0,6858.65,2
0,12000.0,24,38000.0,2018,20790.0,786.9,0
1,3500.0,23,19000.0,2014,4765.0,131.51,3
0,25000.0,31,65000.0,2018,8889.0,8120.11,5
0,9975.0,44,30680.0,2018,3586.0,37.12,0
0,10000.0,29,31500.0,2019,7940.0,9230.66,0
1,15125.0,25,52800.0,2018,4129.0,550.92,1
0,16000.0,13,120000.0,2019,18795.0,379.68,0
0,3200.0,17,40000.0,2019,7877.0,105.17,0
0,17000.0,36,84000.0,2019,12222.0,11013.45,1
1,7000.0,21,105000.0,2016,14353.0,654.15,2
1,18000.0,16,60000.0,2017,11459.0,452.89,2
0,12000.0,10,65000.0,2019,10765.0,5147.52,0
0,4000.0,7,59950.0,2014,10749.0,4015.54,0
0,35000.0,28,80000.0,2018,18412.0,1.29,0
0,28000.0,10,135000.0,2019,15050.0,685.23,0
0,25000.0,24,90000.0,2019,80754.0,655.69,0
0,4000.0,5,20000.0,2019,3132.0,2308.25,0
0,24000.0,16,71000.0,2019,20483.0,831.43,0
1,22775.0,34,54078.99,2016,4369.0,635.82,0
0,13200.0,18,50000.0,2018,12187.0,6308.66,0
1,16650.0,50,110000.0,2018,16443.0,560.98,3
0,7200.0,31,55000.0,2017,8829.0,4.43,0
0,16000.0,21,54000.0,2018,15121.0,60.52,1
0,16800.0,24,210000.0,2019,17455.0,7822.52,2
0,6000.0,17,25000.0,2019,5400.0,5046.87,0
0,5000.0,19,26000.0,2018,7243.0,4106.54,1
0,24000.0,23,60000.0,2019,24656.0,22456.77,0
1,24000.0,24,75000.0,2017,25447.0,831.86,0
0,10000.0,15,30000.0,2019,4278.0,4941.77,0
0,15000.0,21,75000.0,2019,1738.0,10754.01,0
0,10000.0,13,50000.0,2017,6921.0,1827.6,1
0,10000.0,22,165000.0,2017,10695.0,667.98,2
0,5025.0,11,33000.0,2018,3913.0,185.06,2
1,8300.0,15,45000.0,2016,7400.0,292.63,1
0,19950.0,31,98000.0,2018,17045.0,18778.76,0
0,15000.0,25,43000.0,2019,4606.0,960.13,0
0,23975.0,48,65000.0,2018,31778.0,786.96,0
1,20000.0,17,60000.0,2018,6998.0,630.34,0
0,15000.0,32,38000.0,2015,13378.0,8515.7,0
0,18000.0,18,83500.0,2019,15401.0,0.35,0
1,24950.0,47,62400.0,2017,14576.0,601.58,0
0,5800.0,19,43000.0,2016,7449.0,383.39,1
0,6000.0,24,29161.0,2019,1942.0,1319.79,0
0,20000.0,19,80000.0,2017,36106.0,3121.19,0
1,8000.0,36,80000.0,2018,20308.0,267.6,4
1,18425.0,17,39500.0,2017,21263.0,480.4,1
1,5500.0,14,30000.0,2018,5847.0,167.4,0
1,12000.0,9,43300.0,2016,8265.0,345.78,0
1,12500.0,34,36000.0,2016,6192.0,325.78,2
1,10000.0,18,32000.0,2016,9924.0,344.95,0
0,10000.0,57,55000.0,2019,24067.0,5678.69,2
0,3575.0,5,28000.0,2019,3728.0,141.08,0
0,9325.0,13,28000.0,2014,3405.0,7107.93,1
0,19475.0,36,39000.0,2019,24386.0,13146.36,0
0,7000.0,43,122200.0,2019,8522.0,2949.73,2
1,10000.0,26,70000.0,2018,19913.0,314.25,1
0,35000.0,27,215000.0,2019,193901.0,770.27,0
0,24000.0,14,102000.0,2019,10390.0,796.98,2
0,35000.0,35,104572.0,2015,21652.0,30342.18,0
0,10000.0,14,57500.0,2019,8975.0,7369.85,0
0,20000.0,45,85000.0,2019,2527.0,14862.87,6
0,12500.0,46,102000.0,2017,27733.0,380.22,0
0,10000.0,17,125000.0,2016,4062.0,5306.05,3
0,19950.0,26,92000.0,2019,2680.0,680.06,1
0,30000.0,28,97000.0,2019,10322.0,17992.03,1
0,16000.0,33,95000.0,2017,25418.0,4825.15,1
0,20000.0,42,85550.0,2015,34097.0,17672.97,4
0,18000.0,30,45000.0,2019,12400.0,606.17,0
0,18000.0,14,85000.0,2017,17708.0,13069.22,1
0,6000.0,24,70000.0,2018,4468.0,1136.56,1
0,15950.0,33,67689.0,2018,40039.0,1885.64,0
0,12000.0,28,32352.0,2019,7452.0,821.59,0
0,15575.0,33,38500.0,2013,15446.0,14277.39,0
0,29600.0,23,100000.0,2019,20531.0,636.08,1
0,5000.0,27,26000.0,2019,4351.0,168.26,1
0,8500.0,16,26000.0,2019,15980.0,290.51,0
0,12575.0,27,35000.0,2018,16056.0,10427.4,1
0,12000.0,22,62500.0,2019,13747.0,3863.11,0
0,14000.0,27,54000.0,2019,30774.0,8271.28,0
0,13000.0,26,42000.0,2018,12959.0,2318.0,1
1,26375.0,33,87000.0,2017,25682.0,761.43,2
0,10000.0,16,46800.0,2019,2696.0,331.91,0
0,9600.0,17,43303.0,2017,19347.0,4804.09,1
1,27650.0,12,63000.0,2016,39608.0,207.0,0
0,10000.0,16,40000.0,2018,6535.0,2395.32,0
0,28000.0,33,98000.0,2019,12208.0,2761.11,1
0,15000.0,18,38400.0,2018,9561.0,8919.41,0
0,4000.0,16,50000.0,2019,16609.0,3528.37,0
0,14400.0,20,54000.0,2018,5789.0,13098.11,0
0,9950.0,15,170000.0,2016,7516.0,357.52,0
1,8000.0,18,27268.0,2016,8985.0,304.0,3
0,24975.0,36,125000.0,2019,24793.0,11301.64,0
0,3500.0,4,11000.0,2015,3665.0,492.73,0
0,9000.0,20,70000.0,2017,8020.0,1478.61,1
0,24000.0,13,65000.0,2016,14502.0,17527.51,0
1,8000.0,37,65000.0,2016,5645.0,250.0,1
0,10000.0,18,28000.0,2019,7605.0,953.43,0
0,8000.0,16,60000.0,2019,6497.0,253.85,1
0,26000.0,46,124000.0,2019,17216.0,7153.97,0
0,19000.0,30,67000.0,2018,17172.0,6890.08,0
0,15000.0,21,70000.0,2018,10060.0,3406.63,0
0,5000.0,19,43000.0,2017,2523.0,155.88,0
1,35000.0,33,150000.0,2016,24816.0,1292.19,0
1,10625.0,32,200000.0,2017,9574.0,401.12,0
0,14700.0,30,48000.0,2018,1966.0,13949.48,0
0,8875.0,19,98000.0,2019,7427.0,4272.79,3
0,15775.0,20,36000.0,2018,20739.0,7297.68,0
0,13200.0,37,86700.0,2018,18080.0,11474.1,2
0,8000.0,13,58000.0,2019,3599.0,3950.06,3
0,12000.0,44,143000.0,2019,47565.0,8024.41,1
1,9975.0,35,39500.0,2018,14003.0,328.06,0
0,14000.0,30,38000.0,2019,14332.0,318.48,0
0,25000.0,33,116500.0,2018,28428.0,14825.8,2
0,12000.0,46,136800.0,2019,18069.0,2703.85,1
1,14000.0,36,140000.0,2017,20630.0,454.97,0
0,8000.0,25,35000.0,2018,7328.0,334.96,1
0,20000.0,39,65500.0,2016,21317.0,679.98,0
0,21950.0,12,50000.0,2019,10624.0,552.77,0
0,6000.0,19,140000.0,2018,2552.0,1292.96,2
1,6000.0,22,86551.0,2016,997.0,206.94,1
0,10000.0,21,90000.0,2017,6797.0,336.52,1
1,2500.0,21,34000.0,2019,19559.0,97.69,0
0,14000.0,34,65000.0,2016,25383.0,10778.39,2
