"ReferenceId","PolicyholderNumber","FirstPartyVehicleNumber","ThirdPartyVehicleNumber","PolicyholderOccupation","LossDate","FirstPolicySubscriptionDate","ClaimCause","ClaimInvolvedCovers","DamageImportance","FirstPartyVehicleType","ConnectionBetweenParties","LossPostCode","PolicyHolderPostCode","PolicyWasSubscribedOnInternet","NumberOfPoliciesOfPolicyholderInAllScope","FpVehicleAgeMonths","EasinessToStage","ClaimWihoutIdentifiedThirdParty","ClaimAmount","LossHour","PolicyHolderAge","NumberOfBodilyInjuries","FirstPartyLiability","Fraud"
4871,443605,616156,NA,"Employee","2019-01-07","2017-04-01","CollisionWithAnimal","ActLiability","","Car","","74650","74150",0,1,146,0.25,1,1825.34,21,28,0,0,0
4872,697516,929106,NA,"Employee","2019-01-08","2017-12-29","LossOfControl","ActLiability","","Car","","87280","46100",1,1,252,0.5,1,0,12,35,0,1,0
4873,246572,294566,NA,"Student","2019-01-08","2018-06-26","LossOfControl","ActLiability","","Car","","33160","33160",0,1,205,0.5,1,0,10,19,0,1,0
4874,359770,530814,NA,"Retired","2019-01-06","2017-02-14","AccidentWithIdentifiedThirdParty","MaterialDamages ActLiability","","Car","","13009","13011",0,1,31,0.25,0,2912.22,21,70,0,0,0
4875,553207,840052,NA,"Employee","2019-01-03","2017-09-14","AccidentWithIdentifiedThirdParty","MaterialDamages ActLiability ThirdParty","TotalLoss","Car","","49300","49300",0,3,126,0.25,0,5305.96,0,56,0,1,0
4877,401570,572127,NA,"Worker","2019-01-03","2018-02-06","WindscreenDamage","Windscreen","","Car","","","8270",0,1,11,0.5,1,99.98,0,34,0,0,0
4878,46412,321511,NA,"Employee","2019-01-08","2017-07-31","AccidentWithIdentifiedThirdParty","ActLiability","","Car","","22000","22000",0,3,124,0.25,0,2749.84,12,43,0,0,0
4879,262688,326505,NA,"Employee","2019-01-05","2019-01-01","WindscreenDamage","Windscreen ActLiability","","Car","","22780","22780",0,3,97,0.5,1,137.1,0,40,0,0,0
4880,644336,855457,NA,"Executive","2019-01-04","2018-10-26","LossOfControl","MaterialDamages ActLiability","","Car","","92600","92600",1,1,2,0.5,1,0,12,55,0,0,0
4881,451000,779103,NA,"Employee","2019-01-09","2018-07-10","AccidentWithIdentifiedThirdParty","ActLiability","","Car","","34440","11100",0,2,140,0.25,0,9002.21,18,30,0,0,0
4882,607612,808465,NA,"Employee","2019-01-07","2017-08-10","TheftAttempt","Windscreen ActLiability Theft","","Car","","93200","93200",0,1,117,0.5,1,224.7,10,47,0,0,0
4883,411079,582359,NA,"Employee","2019-01-10","2018-02-27","WindscreenDamage","Windscreen","","Car","","80600","80600",1,1,251,0.5,1,638.77,0,52,0,0,0
4884,367292,539084,NA,"Employee","2019-01-09","2018-01-30","LossOfControl","MaterialDamages ActLiability","","Car","","95350","95500",0,1,86,0.5,1,5543.47,17,29,0,1,0
4885,42667,29170,NA,"Retired","2019-01-02","2019-01-01","LossOfControl","ActLiability","","Car","","35590","35590",0,2,106,0.5,1,0,16,83,0,1,0
4886,690854,921383,867256,"CivilServant","2019-01-08","2018-11-09","AccidentWithIdentifiedThirdParty","ActLiability","TotalLoss","Car","","76230","76440",0,3,177,0.25,0,0,7,33,0,0,0
4888,363274,534756,NA,"CivilServant","2019-01-08","2018-02-13","AccidentWithIdentifiedThirdParty","ActLiability","","Car","","13001","13740",1,1,231,0.25,0,0,17,31,0,1,0
4889,234006,272871,NA,"Employee","2019-01-10","2017-06-30","","","","Car","","35850","35850",0,2,185,0.25,1,0,0,28,0,0,0
4890,364892,536517,NA,"Executive","2019-01-07","2018-02-20","AccidentWithIdentifiedThirdParty","MaterialDamages ActLiability ReplacementVehicle","","Car","","11100","11100",0,1,48,0.25,0,833.71,18,69,0,1,0
4891,337670,511708,NA,"Employee","2019-01-11","2018-01-29","WindscreenDamage","Windscreen","","Car","","27830","27830",1,1,127,0.5,1,0,0,25,0,0,0
4892,483061,660213,NA,"Retired","2019-01-06","2018-05-16","AccidentWithUnidentifiedThirdParty","MaterialDamages ActLiability","","Car","","57870","57870",0,1,150,0.25,1,124.74,0,49,0,0,0
4893,664730,884906,NA,"Employee","2019-01-11","2018-11-26","MultiVehicleCrash","MaterialDamages ActLiability ThirdParty","","Car","","31000","31330",0,1,78,0.15,0,6637.91,12,40,0,0,0
4894,483024,660170,NA,"Employee","2019-01-10","2018-05-14","AccidentWithIdentifiedThirdParty","ActLiability ReplacementVehicle","","Car","","44750","44750",0,2,172,0.25,0,3997.97,19,47,0,0,0
4895,512657,694031,NA,"Employee","2019-01-09","2017-05-10","AccidentWithIdentifiedThirdParty","MaterialDamages ActLiability","","Car","","82000","82000",0,2,49,0.25,0,1482,14,43,0,1,0
4896,726303,971865,NA,"Employee","2019-01-07","2017-12-29","CollisionWithPedestrian","MaterialDamages ActLiability","","Car","","34430","34430",0,1,33,0.25,1,174.35,17,46,0,0,0
4897,527560,711700,NA,"Employee","2019-01-04","2018-06-14","MultiVehicleCrash","ActLiability ThirdParty","","Car","","1700","69140",1,1,263,0.15,0,4491.24,23,20,0,1,0
4898,898249,357274,NA,"CivilServant","2019-01-11","2017-02-04","AccidentWithIdentifiedThirdParty","ActLiability","","Car","","56100","29900",0,2,94,0,0,6259.42,18,32,1,0,0
4899,584432,780591,NA,"Employee","2019-01-11","2018-07-18","AccidentWithIdentifiedThirdParty","ActLiability ThirdParty","","Car","","59470","59180",0,1,187,0.25,0,3186.6,15,38,0,1,0
4900,245769,293724,NA,"Worker","2019-01-11","2018-06-02","CollisionWithAnimal","ActLiability","","Car","","33760","33760",0,4,134,0.25,1,0,0,33,0,0,0
4901,332180,501030,NA,"Employee","2019-01-12","2018-11-09","Vandalism","ActLiability Burglary","","Car","","22170","22540",0,2,116,0.5,1,1664.07,1,30,0,0,0
4902,246853,295064,NA,"Executive","2019-01-03","2017-12-01","Vandalism","MaterialDamages ActLiability Burglary","","Car","","33000","33300",0,2,180,0.5,1,2882.51,10,34,0,0,0
4903,848161,663026,NA,"CivilServant","2019-01-12","2018-04-27","WindscreenDamage","Windscreen","","Car","","74570","74570",0,3,8,0.5,1,0,0,25,0,0,0
4904,137901,443823,NA,"Worker","2019-01-12","2017-03-17","AccidentWithIdentifiedThirdParty","ActLiability","","Car","","16460","16460",0,4,190,0.25,0,736.43,19,47,0,0,0
4905,332335,501526,NA,"Worker","2019-01-13","2019-01-01","AccidentWithIdentifiedThirdParty","MaterialDamages ActLiability","","Car","","35740","35310",0,3,47,0.25,0,0,18,38,0,0,0
4906,479093,655061,NA,"Employee","2019-01-14","2017-04-11","LossOfControl","MaterialDamages ActLiability","","Car","","47310","47310",0,1,91,0.5,1,1992.95,9,29,0,1,0
4908,41952,28482,NA,"Executive","2019-01-13","2017-09-01","AccidentWithUnidentifiedThirdParty","MaterialDamages ActLiability","","Car","","35550","56200",0,6,127,0.25,1,0,11,46,0,0,0
4909,292829,394156,NA,"CivilServant","2019-01-11","2018-09-27","WindscreenDamage","Windscreen ActLiability","","Car","","29280","29280",0,4,38,0.5,1,303.22,13,27,0,0,0
4910,127252,117048,NA,"Retired","2019-01-14","2017-05-15","WindscreenDamage","Windscreen ActLiability","","Car","","29280","29280",0,3,244,0.5,1,355.5,0,64,0,0,0
4911,670848,892028,NA,"Employee","2019-01-11","2018-11-15","MultiVehicleCrash","ActLiability ThirdParty","","Car","","30190","30190",1,1,165,0.15,0,1340.46,16,21,0,1,0
4912,699046,930560,NA,"Executive","2019-01-13","2018-12-18","AccidentWithIdentifiedThirdParty","ActLiability","","Car","","84250","84250",1,1,0,0.25,0,340.5,15,32,0,0,0
4913,686249,913883,NA,"Retired","2019-01-12","2017-12-10","AccidentWithIdentifiedThirdParty","MaterialDamages ActLiability","","Car","","61100","61100",0,1,149,0.25,0,1482,0,63,0,1,0
4914,664417,884413,NA,"Retired","2019-01-12","2018-10-13","AccidentWithIdentifiedThirdParty","MaterialDamages ActLiability","TotalLoss","Car","","94700","94140",0,1,173,0.25,0,5010.5,19,77,0,1,0
4915,723793,967833,NA,"Employee","2019-01-10","2018-01-01","WindscreenDamage","Windscreen","","Car","","27000","27000",0,4,85,0.5,1,423.53,0,51,0,0,0
4916,401550,572106,NA,"Employee","2019-01-03","2017-02-28","AccidentWithIdentifiedThirdParty","ActLiability","","Car","","65000","65000",0,2,214,0.25,0,808.43,12,48,0,0,0
4917,485699,663571,NA,"Employee","2019-01-05","2018-05-28","AccidentWithIdentifiedThirdParty","ActLiability","","Car","","85300","85300",0,1,124,0.25,0,296.22,10,52,0,0,0
4918,562823,753565,NA,"Employee","2019-01-12","2018-07-19","AccidentWithIdentifiedThirdParty","ActLiability","","Car","","34090","34500",1,1,118,0.25,0,1663.18,16,24,0,0.5,0
4919,236466,277427,NA,"Employee","2019-01-14","2018-07-24","WindscreenDamage","Windscreen","","Car","","56950","56950",0,7,118,0.5,1,150.48,17,52,0,0,0
4920,234621,274106,NA,"Worker","2019-01-15","2018-07-11","WindscreenDamage","Windscreen","","Car","","22150","22150",0,3,103,0.5,1,614.23,0,44,0,0,0
4921,166551,167199,NA,"Employee","2019-01-13","2018-04-24","AccidentWithIdentifiedThirdParty","MaterialDamages ActLiability","","Car","","44800","44800",0,2,8,0.25,0,1145.4,21,42,0,0.5,0
4922,99328,84258,NA,"CivilServant","2019-01-12","2018-03-23","AccidentWithIdentifiedThirdParty","MaterialDamages ActLiability","","Car","","63200","63119",0,1,9,0.25,0,694.8,16,45,0,0,0
4923,443294,615760,NA,"Retired","2019-01-09","2017-04-30","AccidentWithIdentifiedThirdParty","ActLiability","","Car","","13440","13440",0,3,190,0.25,0,1049.08,15,70,0,0,0
4924,694676,925548,NA,"CivilServant","2019-01-14","2018-11-18","TotalTheft","ActLiability Theft","","Car","","91340","91340",1,1,61,0.5,1,3166.45,1,47,0,0,0
4925,1501457,30934,NA,"","2019-01-04","2018-01-02","WindscreenDamage","Windscreen","","PrivateCar","","80105","22400",0,1,18,0.5,1,538.52,0,NA,0,0,0
4926,580318,774944,NA,"Employee","2019-01-04","2017-07-17","WindscreenDamage","Windscreen","","Car","","","34500",0,1,46,0.5,1,782.21,0,58,0,0,0
4927,277156,468833,NA,"Unemployed","2019-01-04","2017-09-21","WindscreenDamage","Windscreen","","Car","","","35410",0,7,215,0.5,1,119.98,0,56,0,0,0
4928,442592,614868,NA,"Employee","2019-01-09","2017-04-01","WindscreenDamage","Windscreen","","Car","","","13980",0,3,120,0.5,1,601.5,0,46,0,0,0
4929,658501,875139,NA,"Retired","2019-01-08","2017-10-05","WindscreenDamage","Windscreen","","Car","","","31170",0,1,102,0.5,1,399.5,0,65,0,0,0
4930,459206,633204,NA,"Employee","2019-01-11","2018-04-20","WindscreenDamage","Windscreen","","Car","","","71200",1,1,135,0.5,1,391.07,0,24,0,0,0
4931,337257,511320,NA,"Employee","2019-01-15","2019-01-08","AccidentWithIdentifiedThirdParty","MaterialDamages ActLiability","","Car","","83470","13005",1,1,116,0.25,1,0,23,34,0,1,0
4932,726874,NA,NA,"Retired","2019-01-12","2018-05-04","AccidentWithIdentifiedThirdParty","ActLiability","","Car","","34000","34250",0,2,123,0.25,0,0,14,72,0,0,0
4933,729260,976255,NA,"Executive","2019-01-16","2019-01-01","WindscreenDamage","Windscreen","","Car","","40100","40180",0,1,120,0.5,1,281.94,0,40,0,0,0
4934,638069,848686,NA,"Employee","2019-01-15","2018-10-01","LossOfControl","MaterialDamages ActLiability ReplacementVehicle","","Car","","31810","31810",0,3,101,0.5,1,624.21,0,35,0,1,0
4935,406240,577420,NA,"SelfEmployed","2019-01-07","2018-04-03","AccidentWithIdentifiedThirdParty","MaterialDamages ActLiability","","Car","","63110","63000",0,1,42,0.25,0,376.31,19,65,0,1,0
4936,90159,74514,NA,"Student","2019-01-13","2019-01-01","WindscreenDamage","Windscreen","","Car","","29350","29350",0,2,195,0.5,1,185.83,0,23,0,0,0
4937,689761,919310,NA,"Employee","2019-01-11","2018-12-10","WindscreenDamage","Windscreen","","Car","","27440","27660",0,1,114,0.5,1,799.47,0,24,0,0,0
4938,44424,30867,NA,"Worker","2019-01-16","2017-06-01","CollisionWithAnimal","MaterialDamages ActLiability","","Car","","35460","35460",0,4,21,0.25,1,2226.35,4,44,0,0,0
4939,515385,697710,NA,"Employee","2019-01-08","2018-06-06","AccidentWithIdentifiedThirdParty","ActLiability","","Car","","","74350",0,1,49,0.25,0,1944.98,7,33,0,0,0
4940,312734,443342,NA,"Employee","2019-01-11","2018-11-13","WindscreenDamage","Windscreen","","Car","","33270","33540",0,3,139,0.5,1,0,0,55,0,0,0
4941,405257,576343,NA,"SelfEmployed","2019-01-16","2018-02-22","AccidentWithIdentifiedThirdParty","Windscreen MaterialDamages ActLiability","","Car","","67000","67330",0,1,139,0.25,0,1595.43,12,65,0,0,0
4942,695467,926483,NA,"Employee","2019-01-16","2018-12-06","AccidentWithIdentifiedThirdParty","ActLiability","","Car","SameAddress","26290","26130",1,1,222,0.25,0,742.89,10,19,0,0,0
4943,231763,268408,NA,"Employee","2019-01-15","2017-06-17","WindscreenDamage","Windscreen","","Car","","56130","56130",0,1,170,0.5,1,308.52,0,32,0,0,0
4944,485753,700956,NA,"Employee","2019-01-11","2018-04-28","AccidentWithIdentifiedThirdParty","ActLiability","","Car","","72650","72380",0,3,282,0.25,0,1482,14,57,0,1,0
4945,278157,359462,NA,"Worker","2019-01-16","2018-08-29","","","","Car","","35680","35680",0,4,127,0.25,1,0,0,34,0,0,0
4946,686571,914390,NA,"Retired","2019-01-15","2017-11-03","AccidentWithIdentifiedThirdParty","MaterialDamages ActLiability ReplacementVehicle","","Car","","44230","44230",0,1,114,0.25,0,1924.3,12,62,0,0.5,0
4947,580901,775816,NA,"HeadOfCompany","2019-01-08","2017-07-24","AccidentWithIdentifiedThirdParty","ActLiability","","Car","","88700","88470",0,1,17,0.25,0,3858.55,15,55,0,0,0
4948,379758,892784,NA,"Executive","2019-01-17","2018-12-19","WindscreenDamage","Windscreen","","Car","","11270","11270",1,2,54,0.5,1,672.1,0,41,0,0,0
4949,234114,273092,NA,"Retired","2019-01-14","2017-07-05","TheftAttempt","ActLiability Theft","TotalLoss","Motorcycle","","56270","56530",0,4,160,0.5,1,775,0,64,0,0,0
4950,407302,922989,NA,"Employee","2019-01-16","2018-12-18","WindscreenDamage","Windscreen ActLiability","","Car","","66200","66200",0,4,134,0.5,1,978.26,0,42,0,0,0
4951,1417213,976507,NA,"Employee","2019-01-15","2019-01-03","AccidentWithIdentifiedThirdParty","ActLiability","","Car","","35580","35580",0,1,186,0.25,0,1482,7,22,0,1,0
4952,449064,622615,NA,"Retired","2019-01-08","2018-04-21","LossOfControl","ActLiability","","Car","","57520","57520",0,1,85,0.5,1,0,0,76,0,1,0
4953,159057,155676,NA,"SelfEmployed","2019-01-17","2017-04-01","","","","Car","","35780","35780",0,2,60,0.25,1,0,0,35,0,0,0
4954,321797,469250,NA,"Worker","2019-01-17","2018-12-21","LossOfControl","MaterialDamages ActLiability ThirdParty","TotalLoss","Car","","22780","22810",0,3,81,0.5,1,6945.4,8,29,0,1,0
4955,558647,781178,NA,"Employee","2019-01-10","2017-07-20","AccidentWithIdentifiedThirdParty","MaterialDamages ActLiability","","Car","","49300","49300",0,4,109,0.25,0,1923.49,7,28,0,1,0
4956,378652,550278,988866,"Executive","2019-01-16","2018-03-03","AccidentWithIdentifiedThirdParty","ActLiability","","Car","","6150","6150",1,2,36,0.25,0,0,18,60,0,0,0
4957,378652,550278,988866,"Executive","2019-01-16","2018-03-03","AccidentWithIdentifiedThirdParty","ActLiability","","Car","","6150","6150",1,2,36,0.25,0,480.22,18,60,0,0,0
4958,635132,844403,NA,"Employee","2019-01-17","2017-10-01","AccidentWithIdentifiedThirdParty","ActLiability","","Car","","25130","25210",0,1,140,0.25,0,1482,14,23,0,1,0
4959,517003,699801,NA,"Employee","2019-01-15","2018-05-16","AccidentWithIdentifiedThirdParty","ActLiability","","Car","","35000","35470",0,2,12,0.25,0,261.85,17,44,0,0,0
4960,666607,887451,NA,"CivilServant","2019-01-18","2018-10-31","WindscreenDamage","Windscreen ActLiability","","Car","","63160","63160",0,1,20,0.5,1,88.2,0,35,0,0,0
4961,484222,661705,NA,"Retired","2019-01-17","2018-04-29","AccidentWithIdentifiedThirdParty","ActLiability","","Car","","77600","77185",0,1,99,0.25,0,4004.29,14,64,0,0,0
4962,402731,573441,NA,"CivilServant","2019-01-17","2017-09-19","AccidentWithIdentifiedThirdParty","ActLiability","","Car","","65500","65500",0,3,24,0.25,0,1482,17,47,0,1,0
4963,641750,852604,NA,"Student","2019-01-18","2018-10-20","AccidentWithIdentifiedThirdParty","ActLiability","","Car","","44780","44780",1,1,196,0.25,0,741,8,19,0,0.5,0
4964,41153,27669,NA,"CivilServant","2019-01-18","2018-01-02","AccidentWithIdentifiedThirdParty","MaterialDamages ActLiability ThirdParty","","Car","","56440","29260",0,3,115,0.25,0,6398,14,29,0,1,0
4965,321357,468033,NA,"Retired","2019-01-05","2018-12-20","LossOfControl","MaterialDamages ActLiability","","Car","","56440","56440",0,2,30,0.5,1,2421.2,0,74,0,1,0
4966,727212,973242,NA,"Employee","2019-01-08","2018-12-08","AccidentWithUnidentifiedThirdParty","MaterialDamages ActLiability","","Car","","47330","47330",0,1,187,0.25,1,746.33,0,53,0,0,0
4967,100324,398799,NA,"Employee","2019-01-18","2017-10-10","AccidentWithIdentifiedThirdParty","MaterialDamages ActLiability","","Car","","19000","24120",0,4,6,0.25,0,3224.05,12,41,0,1,0
4968,235059,274927,NA,"CivilServant","2019-01-18","2018-07-13","MultiVehicleCrash","Accessories MaterialDamages ActLiability ThirdParty","","Car","","22950","22400",0,3,69,0,0,5714.74,19,31,1,0,0
4969,635538,844986,NA,"Retired","2019-01-18","2018-09-03","LossOfControl","MaterialDamages ActLiability","","Car","","13014","13014",0,1,4,0.5,1,5817.87,9,62,0,1,0
4970,127689,116487,NA,"CivilServant","2019-01-20","2017-04-01","Vandalism","ActLiability Burglary","","Car","","56400","56400",0,2,120,0.5,1,407.92,9,53,0,0,0
4971,99506,84478,NA,"CivilServant","2019-01-10","2018-02-10","AccidentWithIdentifiedThirdParty","ActLiability ReplacementVehicle","","Car","","33600","33600",0,2,60,0.25,0,531.77,8,31,0,0,0
4972,282554,368966,NA,"CivilServant","2019-01-20","2018-10-18","AccidentWithUnidentifiedThirdParty","MaterialDamages ActLiability","","Car","","35230","35000",0,3,120,0.25,1,0,17,27,0,0,0
4973,43271,29790,NA,"Employee","2019-01-17","2018-02-26","WindscreenDamage","Windscreen","","Car","","29250","29670",0,2,82,0.5,1,583.55,0,30,0,0,0
4974,335276,509269,NA,"HeadOfCompany","2019-01-18","2019-01-12","TotalTheft","ActLiability Theft","","Car","","13100","13100",1,2,108,0.5,1,5217.95,NA,48,0,0,0
4975,55729,40894,NA,"Retired","2019-01-19","2018-01-01","","","","Car","","16430","16430",0,5,139,0.25,1,0,0,60,0,0,0
4976,550077,738935,NA,"Employee","2019-01-09","2018-06-05","AccidentWithIdentifiedThirdParty","ThirdParty","","Car","","13130","13130",0,1,141,0.25,0,597.92,17,26,0,1,0
4977,371214,543179,NA,"Employee","2019-01-21","2019-01-16","Fire","ActLiability","","Car","","25000","25000",0,1,177,0.5,1,1500,4,36,0,0,0
4978,281182,366037,NA,"CivilServant","2019-01-19","2018-08-21","Vandalism","MaterialDamages ActLiability","","Car","","33000","16710",0,1,351,0.5,1,4231.28,0,43,0,0,0
4979,697433,929012,NA,"Employee","2019-01-20","2018-12-14","WindscreenDamage","Windscreen","","Car","","69150","69100",1,1,161,0.5,1,624.64,0,38,0,0,0
4980,282361,368492,NA,"CivilServant","2019-01-18","2017-10-06","AccidentWithIdentifiedThirdParty","MaterialDamages ActLiability","","Car","","17520","17520",0,1,86,0.25,0,1482,20,28,0,1,0
4981,719440,959887,NA,"Employee","2019-01-14","2017-01-10","WindscreenDamage","Windscreen ActLiability","","Car","","59200","59200",0,1,179,0.5,1,503.38,9,56,0,0,0
4982,728439,975046,NA,"Employee","2019-01-21","2019-01-01","AccidentWithIdentifiedThirdParty","ActLiability","","Car","","75017","95410",0,2,57,0,0,502,9,38,1,0,0
4983,400813,977964,NA,"Retired","2019-01-18","2017-01-01","AccidentWithIdentifiedThirdParty","ActLiability","","Car","","93320","93000",0,3,144,0.25,0,1482,15,75,0,1,0
4984,191389,431209,NA,"Executive","2019-01-13","2017-06-27","Vandalism","ActLiability Burglary","","Car","","29820","29280",0,6,110,0.5,1,546.64,15,50,0,0,0
4985,440389,612179,NA,"Retired","2019-01-20","2017-04-01","LossOfControl","MaterialDamages ActLiability","","Car","","17530","17530",0,1,81,0.5,1,1471.32,11,65,0,1,0
4986,618021,821285,NA,"Employee","2019-01-19","2018-09-06","AccidentWithIdentifiedThirdParty","ActLiability","","Car","","31340","31340",1,1,141,0.25,0,0,16,36,0,0,0
4987,484588,662173,NA,"Retired","2019-01-18","2018-05-24","AccidentWithUnidentifiedThirdParty","Windscreen","","Car","","63000","63000",0,1,142,0.25,1,1554.66,16,62,0,0,0
4988,612055,814865,NA,"Employee","2019-01-10","2018-09-01","WindscreenDamage","Windscreen","","Car","","29550","29550",0,1,83,0.5,1,565.6,0,22,0,0,0
4989,617475,820631,NA,"Employee","2019-01-21","2017-09-08","AccidentWithIdentifiedThirdParty","ActLiability","","Car","","54700","54700",1,1,88,0.25,0,345.52,12,37,0,0,0
4990,619056,822493,NA,"Employee","2019-01-22","2018-09-06","WindscreenDamage","Windscreen","","Car","","1150","69580",1,2,87,0.5,1,108.47,0,44,0,0,0
4991,609601,811459,NA,"Farmer","2019-01-20","2018-09-11","AccidentWithIdentifiedThirdParty","MaterialDamages ActLiability","TotalLoss","Car","","89700","89360",0,1,173,0.25,0,4206,9,26,0,1,0
4992,584301,780415,NA,"Employee","2019-01-17","2018-07-17","AccidentWithIdentifiedThirdParty","ActLiability","","Car","","49300","49300",0,1,138,0.25,0,1408.21,0,40,0,0,0
4993,454354,966236,NA,"Retired","2019-01-17","2017-12-05","LossOfControl","MaterialDamages ActLiability","","Car","","87000","87500",0,3,13,0.5,1,628.12,16,68,0,1,0
4994,444238,616901,NA,"Employee","2019-01-21","2018-04-03","WindscreenDamage","Windscreen","","Car","","44240","44390",0,2,142,0.5,1,99.6,8,34,0,0,0
4995,236581,277621,NA,"CivilServant","2019-01-22","2018-06-22","CollisionWithAnimal","MaterialDamages ActLiability","","Car","","22510","22510",0,7,52,0.25,1,12,7,26,0,0,0
4996,741366,848855,NA,"Employee","2019-01-11","2018-09-26","WindscreenDamage","Windscreen","","Car","","","30150",0,2,53,0.5,1,869.77,0,52,0,0,0
